Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[1.49886914]
96.42857142857144,[1.51834845]
122.14285714285737,[1.50033186]
134.99999999999974,[1.35590906]
147.85714285714317,[0.79282401]
160.7142857142859,[0.61812706]
173.57142857142824,[0.28554445]
173.57142857142824,[0.34996664]
160.7142857142859,[0.7781982]
147.85714285714297,[0.81405809]
135.00000000000009,[1.33558049]
122.14285714285697,[1.50500866]
109.2857142857147,[1.50758507]
96.42857142857113,[1.51956812]
83.57142857142887,[1.50591951]
70.71428571428521,[1.46157988]
57.85714285714325,[1.44999702]
44.99999999999968,[1.26413588]
32.142857142857316,[0.75044445]
19.285714285714285,[0.57373339]
6.428571428571361,[0.30796995]
6.4285714285713045,[0.30562913]
19.285714285714267,[0.73068326]
32.142857142857096,[0.77098903]
45.00000000000003,[1.25745283]
57.85714285714292,[1.46046011]
70.71428571428564,[1.48095224]
83.57142857142857,[1.53307566]
