Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[1.27375349]
96.42857142857144,[1.09299205]
122.14285714285737,[1.40133364]
134.99999999999974,[0.95639734]
147.85714285714317,[0.96201851]
160.7142857142859,[0.3959753]
173.57142857142824,[0.37339416]
173.57142857142824,[0.41718801]
160.7142857142859,[0.40089919]
147.85714285714297,[0.77233896]
135.00000000000009,[0.95406154]
122.14285714285697,[1.3846589]
109.2857142857147,[1.29419654]
96.42857142857113,[1.34525673]
83.57142857142887,[1.09264558]
70.71428571428521,[1.29437119]
57.85714285714325,[1.37676351]
44.99999999999968,[1.34235762]
32.142857142857316,[0.95967036]
19.285714285714285,[0.40112139]
6.428571428571361,[0.36985111]
6.4285714285713045,[0.41367348]
19.285714285714267,[0.42634191]
32.142857142857096,[0.75063275]
45.00000000000003,[0.95966363]
57.85714285714292,[1.32261153]
70.71428571428564,[1.33058561]
83.57142857142857,[1.38038158]
