Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.09205178]
109.28571428571416,[1.38798672]
109.28571428571416,[1.41829536]
109.28571428571416,[1.42133959]
109.28571428571416,[1.41984187]
109.28571428571416,[1.41921944]
109.28571428571416,[1.41921944]
109.28571428571416,[1.41921944]
109.28571428571416,[1.41984187]
109.28571428571416,[1.42133959]
109.28571428571416,[1.42133959]
109.28571428571416,[1.42405666]
109.28571428571416,[1.40939384]
109.28571428571416,[1.4180237]
109.28571428571416,[1.3584712]
109.28571428571416,[1.09221741]
96.42857142857144,[1.09407737]
96.42857142857144,[1.44499029]
96.42857142857144,[1.45372632]
96.42857142857144,[1.43837211]
96.42857142857144,[1.43837211]
96.42857142857144,[1.43837211]
96.42857142857144,[1.43837211]
96.42857142857144,[1.42986496]
96.42857142857144,[1.42986496]
96.42857142857144,[1.42986496]
96.42857142857144,[1.42986496]
96.42857142857144,[1.42986496]
96.42857142857144,[1.42979074]
96.42857142857144,[1.42986496]
96.42857142857144,[1.40982302]
96.42857142857144,[1.08398668]
122.14285714285735,[1.0920642]
122.14285714285735,[1.39142998]
122.14285714285735,[1.41628295]
122.14285714285735,[1.42204654]
122.14285714285735,[1.42401093]
122.14285714285735,[1.42000915]
122.14285714285735,[1.42000915]
122.14285714285735,[1.42124866]
122.14285714285735,[1.42000915]
122.14285714285735,[1.4219573]
122.14285714285735,[1.42401093]
122.14285714285735,[1.42204654]
122.14285714285735,[1.42295645]
122.14285714285735,[1.39296152]
122.14285714285735,[1.39089534]
122.14285714285735,[1.09986365]
135.00000000000023,[1.0869681]
135.00000000000023,[1.37879313]
135.00000000000023,[1.39457921]
135.00000000000023,[1.39026855]
135.00000000000023,[1.42115609]
135.00000000000023,[1.39605677]
135.00000000000023,[1.39759694]
135.00000000000023,[1.39759694]
135.00000000000023,[1.39759694]
135.00000000000023,[1.39850685]
135.00000000000023,[1.39605677]
135.00000000000023,[1.39026855]
135.00000000000023,[1.39765777]
135.00000000000023,[1.39457921]
135.00000000000023,[1.08814697]
135.00000000000023,[1.1054676]
147.8571428571427,[1.0472894]
147.8571428571427,[0.78318519]
147.8571428571427,[1.30654147]
147.8571428571427,[1.30085671]
147.8571428571427,[1.30286769]
147.8571428571427,[1.27579298]
147.8571428571427,[1.27579298]
147.8571428571427,[1.28608885]
147.8571428571427,[1.27579298]
147.8571428571427,[1.27579298]
147.8571428571427,[1.28701332]
147.8571428571427,[1.28500234]
147.8571428571427,[1.30085671]
147.8571428571427,[1.30321804]
147.8571428571427,[0.78318519]
147.8571428571427,[0.50014683]
160.7142857142859,[0.51940651]
160.7142857142859,[0.77510616]
160.7142857142859,[0.89504942]
160.7142857142859,[0.89860109]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89946511]
160.7142857142859,[0.90147609]
160.7142857142859,[0.90147609]
160.7142857142859,[0.90147609]
160.7142857142859,[0.90031232]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89946511]
160.7142857142859,[0.9016057]
160.7142857142859,[0.89801079]
160.7142857142859,[0.77510616]
160.7142857142859,[0.46956532]
173.57142857142813,[0.4636052]
173.57142857142813,[0.39946165]
173.57142857142813,[0.32849066]
173.57142857142813,[0.34678585]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34678585]
173.57142857142813,[0.31495638]
173.57142857142813,[0.33767675]
173.57142857142813,[0.20889595]
173.57142857142813,[0.20889595]
173.57142857142813,[0.33767675]
173.57142857142813,[0.31495638]
173.57142857142813,[0.34678585]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34594725]
173.57142857142813,[0.34678585]
173.57142857142813,[0.32849066]
173.57142857142813,[0.3970231]
173.57142857142813,[0.4636052]
160.7142857142859,[0.46956532]
160.7142857142859,[0.77510616]
160.7142857142859,[0.94672618]
160.7142857142859,[0.9016057]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89946511]
160.7142857142859,[0.90147609]
160.7142857142859,[0.90147609]
160.7142857142859,[0.90031232]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89946511]
160.7142857142859,[0.89860109]
160.7142857142859,[0.89738521]
160.7142857142859,[0.77510616]
160.7142857142859,[0.51940651]
147.85714285714295,[0.50414862]
147.85714285714295,[0.78318519]
147.85714285714295,[1.30457099]
147.85714285714295,[1.30085671]
147.85714285714295,[1.30085671]
147.85714285714295,[1.28701332]
147.85714285714295,[1.28701332]
147.85714285714295,[1.27579298]
147.85714285714295,[1.27579298]
147.85714285714295,[1.27579298]
147.85714285714295,[1.30286769]
147.85714285714295,[1.30286769]
147.85714285714295,[1.30085671]
147.85714285714295,[1.33715109]
147.85714285714295,[0.77676586]
147.85714285714295,[1.06418539]
134.9999999999996,[1.10858893]
134.9999999999996,[1.08814697]
134.9999999999996,[1.39371519]
134.9999999999996,[1.39542642]
134.9999999999996,[1.39026855]
134.9999999999996,[1.4121816]
134.9999999999996,[1.42115609]
134.9999999999996,[1.41860664]
134.9999999999996,[1.41860664]
134.9999999999996,[1.42115609]
134.9999999999996,[1.42115609]
134.9999999999996,[1.4121816]
134.9999999999996,[1.40042131]
134.9999999999996,[1.39457921]
134.9999999999996,[1.38991663]
134.9999999999996,[1.0738925]
122.14285714285755,[1.10037632]
122.14285714285755,[1.39089534]
122.14285714285755,[1.39341176]
122.14285714285755,[1.404229]
122.14285714285755,[1.42204654]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42401093]
122.14285714285755,[1.42915631]
122.14285714285755,[1.3855723]
122.14285714285755,[1.39021292]
122.14285714285755,[1.09768194]
109.28571428571402,[1.09576504]
109.28571428571402,[1.3584712]
109.28571428571402,[1.42061511]
109.28571428571402,[1.42287509]
109.28571428571402,[1.40587332]
109.28571428571402,[1.40939384]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.42405666]
109.28571428571402,[1.40849027]
109.28571428571402,[1.38641847]
109.28571428571402,[1.08701942]
96.42857142857196,[1.10423831]
96.42857142857196,[1.44853793]
96.42857142857196,[1.46909369]
96.42857142857196,[1.46357845]
96.42857142857196,[1.45372632]
96.42857142857196,[1.45372632]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.43837211]
96.42857142857196,[1.41833018]
96.42857142857196,[1.09249384]
83.57142857142804,[1.07732686]
83.57142857142804,[1.41783216]
83.57142857142804,[1.43462669]
83.57142857142804,[1.43462669]
83.57142857142804,[1.43462669]
83.57142857142804,[1.43462669]
83.57142857142804,[1.43462669]
83.57142857142804,[1.43493991]
83.57142857142804,[1.43493991]
83.57142857142804,[1.43493991]
83.57142857142804,[1.43996906]
83.57142857142804,[1.44344706]
83.57142857142804,[1.44344706]
83.57142857142804,[1.44344706]
83.57142857142804,[1.45331264]
83.57142857142804,[1.08105938]
70.71428571428592,[1.03150452]
70.71428571428592,[1.33498748]
70.71428571428592,[1.36280043]
70.71428571428592,[1.3656744]
70.71428571428592,[1.36505196]
70.71428571428592,[1.36505196]
70.71428571428592,[1.36505196]
70.71428571428592,[1.36505196]
70.71428571428592,[1.36505196]
70.71428571428592,[1.3656744]
70.71428571428592,[1.36717211]
70.71428571428592,[1.36717211]
70.71428571428592,[1.36988918]
70.71428571428592,[1.36338759]
70.71428571428592,[1.29494728]
70.71428571428592,[1.03350264]
57.857142857142705,[0.90108615]
57.857142857142705,[1.30261369]
57.857142857142705,[1.33224161]
57.857142857142705,[1.33906595]
57.857142857142705,[1.34482725]
57.857142857142705,[1.34606677]
57.857142857142705,[1.34606677]
57.857142857142705,[1.34606677]
57.857142857142705,[1.34606677]
57.857142857142705,[1.34482725]
57.857142857142705,[1.34482725]
57.857142857142705,[1.33906595]
57.857142857142705,[1.33906595]
57.857142857142705,[1.30173442]
57.857142857142705,[1.3095174]
57.857142857142705,[0.91995839]
45.00000000000011,[0.8643708]
45.00000000000011,[1.29536173]
45.00000000000011,[1.31471378]
45.00000000000011,[1.31223577]
45.00000000000011,[1.3401033]
45.00000000000011,[1.31632895]
45.00000000000011,[1.31632895]
45.00000000000011,[1.32552111]
45.00000000000011,[1.31632895]
45.00000000000011,[1.31632895]
45.00000000000011,[1.3183485]
45.00000000000011,[1.30321791]
45.00000000000011,[1.31779235]
45.00000000000011,[1.319942]
45.00000000000011,[0.86772686]
45.00000000000011,[0.86226164]
32.14285714285738,[0.79283405]
32.14285714285738,[0.69719793]
32.14285714285738,[1.25385559]
32.14285714285738,[1.24976852]
32.14285714285738,[1.25177949]
32.14285714285738,[1.25177949]
32.14285714285738,[1.2423918]
32.14285714285738,[1.2423918]
32.14285714285738,[1.2423918]
32.14285714285738,[1.25177949]
32.14285714285738,[1.25177949]
32.14285714285738,[1.24976852]
32.14285714285738,[1.24976852]
32.14285714285738,[1.24134942]
32.14285714285738,[0.69719793]
32.14285714285738,[0.41022095]
19.285714285714306,[0.4257757]
19.285714285714306,[0.71459284]
19.285714285714306,[0.91055489]
19.285714285714306,[0.91693688]
19.285714285714306,[0.9178009]
19.285714285714306,[0.9178009]
19.285714285714306,[0.9186481]
19.285714285714306,[0.91981187]
19.285714285714306,[0.91981187]
19.285714285714306,[0.9178009]
19.285714285714306,[0.9178009]
19.285714285714306,[0.9178009]
19.285714285714306,[0.91994148]
19.285714285714306,[0.77324789]
19.285714285714306,[0.71210784]
19.285714285714306,[0.38303122]
6.428571428571418,[0.38816409]
6.428571428571418,[0.34373127]
6.428571428571418,[0.28528299]
6.428571428571418,[0.34741252]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.3457099]
6.428571428571418,[0.34741252]
6.428571428571418,[0.28042204]
6.428571428571418,[0.28119563]
6.428571428571418,[0.16328108]
6.428571428571418,[0.16328108]
6.428571428571418,[0.28119563]
6.428571428571418,[0.28042204]
6.428571428571418,[0.34741252]
6.428571428571418,[0.3457099]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.34657392]
6.428571428571418,[0.3457099]
6.428571428571418,[0.34741252]
6.428571428571418,[0.30263211]
6.428571428571418,[0.40270239]
6.428571428571418,[0.38816409]
19.28571428571425,[0.38303122]
19.28571428571425,[0.71459284]
19.28571428571425,[0.77473788]
19.28571428571425,[0.9186395]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.9178009]
19.28571428571425,[0.91994148]
19.28571428571425,[0.9090027]
19.28571428571425,[0.71459284]
19.28571428571425,[0.4246037]
32.142857142857125,[0.41022095]
32.142857142857125,[0.69719793]
32.142857142857125,[1.24329591]
32.142857142857125,[1.24976852]
32.142857142857125,[1.24976852]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25177949]
32.142857142857125,[1.25061572]
32.142857142857125,[1.24976852]
32.142857142857125,[1.27191049]
32.142857142857125,[0.69719793]
32.142857142857125,[0.80412485]
45.0,[0.8462336]
45.0,[0.86395772]
45.0,[1.31907798]
45.0,[1.31471378]
45.0,[1.32162346]
45.0,[1.33877444]
45.0,[1.3401033]
45.0,[1.3401033]
45.0,[1.3401033]
45.0,[1.3401033]
45.0,[1.34980399]
45.0,[1.34064105]
45.0,[1.31672476]
45.0,[1.31471378]
45.0,[1.30454371]
45.0,[0.8575061]
57.8571428571429,[0.91992317]
57.8571428571429,[1.3095174]
57.8571428571429,[1.30133746]
57.8571428571429,[1.31952185]
57.8571428571429,[1.33906595]
57.8571428571429,[1.33906595]
57.8571428571429,[1.34482725]
57.8571428571429,[1.34482725]
57.8571428571429,[1.34482725]
57.8571428571429,[1.34482725]
57.8571428571429,[1.34482725]
57.8571428571429,[1.34482725]
57.8571428571429,[1.33906595]
57.8571428571429,[1.29111656]
57.8571428571429,[1.3054311]
57.8571428571429,[0.91714509]
70.71428571428567,[1.03705027]
70.71428571428567,[1.29636833]
70.71428571428567,[1.34509461]
70.71428571428567,[1.36568129]
70.71428571428567,[1.35384758]
70.71428571428567,[1.36988918]
70.71428571428567,[1.36988918]
70.71428571428567,[1.36988918]
70.71428571428567,[1.36856173]
70.71428571428567,[1.36856173]
70.71428571428567,[1.36856173]
70.71428571428567,[1.36988918]
70.71428571428567,[1.36988918]
70.71428571428567,[1.3438281]
70.71428571428567,[1.32502051]
70.71428571428567,[1.02647919]
83.57142857142856,[1.08518564]
83.57142857142856,[1.45686028]
83.57142857142856,[1.47416864]
83.57142857142856,[1.45880127]
83.57142857142856,[1.45880127]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.44344706]
83.57142857142856,[1.42665253]
83.57142857142856,[1.08419861]
