Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[1.32496367]
96.42857142857144,[0.83560847]
122.14285714285737,[1.34189468]
134.99999999999974,[0.87347815]
147.85714285714317,[0.88594895]
160.7142857142859,[0.35956394]
173.57142857142824,[0.36075546]
173.57142857142824,[0.42025983]
160.7142857142859,[0.36810831]
147.85714285714297,[0.68811046]
135.00000000000009,[0.87425501]
122.14285714285697,[1.32965894]
109.2857142857147,[1.3432127]
96.42857142857113,[1.28216492]
83.57142857142887,[0.8354708]
70.71428571428521,[1.25893584]
57.85714285714325,[1.23260119]
44.99999999999968,[1.24566923]
32.142857142857316,[0.87980224]
19.285714285714285,[0.37534362]
6.428571428571361,[0.37771648]
6.4285714285713045,[0.42304644]
19.285714285714267,[0.40074538]
32.142857142857096,[0.6696932]
45.00000000000003,[0.8715841]
57.85714285714292,[1.26456684]
70.71428571428564,[1.30276243]
83.57142857142857,[1.29754238]
