Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[0.85818387]
96.42857142857144,[0.84088578]
122.14285714285737,[0.84042129]
134.99999999999974,[0.78682217]
147.85714285714317,[0.38107476]
160.7142857142859,[0.33319827]
173.57142857142824,[0.2516134]
173.57142857142824,[0.25413384]
160.7142857142859,[0.33114236]
147.85714285714297,[0.68478114]
135.00000000000009,[0.79581034]
122.14285714285697,[0.8173904]
109.2857142857147,[0.8452244]
96.42857142857113,[0.83752259]
83.57142857142887,[0.84226657]
70.71428571428521,[0.81883646]
57.85714285714325,[0.81009397]
44.99999999999968,[0.74337103]
32.142857142857316,[0.3114227]
19.285714285714285,[0.29939352]
6.428571428571361,[0.20354082]
6.4285714285713045,[0.23329738]
19.285714285714267,[0.29536569]
32.142857142857096,[0.53766206]
45.00000000000003,[0.75801534]
57.85714285714292,[0.79521987]
70.71428571428564,[0.81519909]
83.57142857142857,[0.83718934]
