Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.56610333]
109.28571428571416,[1.61338078]
109.28571428571416,[1.62833718]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.61907231]
109.28571428571416,[1.63817202]
109.28571428571416,[1.63306083]
109.28571428571416,[1.57507134]
109.28571428571416,[1.52844171]
96.42857142857144,[1.61178493]
96.42857142857144,[1.62717939]
96.42857142857144,[1.63243462]
96.42857142857144,[1.6210291]
96.42857142857144,[1.6210291]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61600829]
96.42857142857144,[1.61579294]
96.42857142857144,[1.61569508]
96.42857142857144,[1.63492886]
96.42857142857144,[1.6146246]
96.42857142857144,[1.56600544]
122.14285714285735,[1.53667341]
122.14285714285735,[1.58469301]
122.14285714285735,[1.6089918]
122.14285714285735,[1.63137598]
122.14285714285735,[1.61642445]
122.14285714285735,[1.61067977]
122.14285714285735,[1.61067977]
122.14285714285735,[1.61067977]
122.14285714285735,[1.61067977]
122.14285714285735,[1.61067977]
122.14285714285735,[1.62528141]
122.14285714285735,[1.62899737]
122.14285714285735,[1.61023132]
122.14285714285735,[1.61299359]
122.14285714285735,[1.57283157]
122.14285714285735,[1.52871694]
135.00000000000023,[1.53139166]
135.00000000000023,[1.57596578]
135.00000000000023,[1.59583992]
135.00000000000023,[1.60748216]
135.00000000000023,[1.60561354]
135.00000000000023,[1.6157763]
135.00000000000023,[1.6157763]
135.00000000000023,[1.6157763]
135.00000000000023,[1.6157763]
135.00000000000023,[1.6157763]
135.00000000000023,[1.6157763]
135.00000000000023,[1.60561354]
135.00000000000023,[1.60748216]
135.00000000000023,[1.57448391]
135.00000000000023,[1.57596578]
135.00000000000023,[1.42589521]
147.8571428571427,[1.40241496]
147.8571428571427,[1.49320084]
147.8571428571427,[1.43067872]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42856572]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42805097]
147.8571428571427,[1.42283245]
147.8571428571427,[1.42283245]
147.8571428571427,[1.44983124]
147.8571428571427,[1.3601813]
160.7142857142859,[1.29818758]
160.7142857142859,[0.94857015]
160.7142857142859,[0.9555752]
160.7142857142859,[0.9555752]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94906304]
160.7142857142859,[0.94906304]
160.7142857142859,[0.94906304]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.95173549]
160.7142857142859,[0.95642476]
160.7142857142859,[1.25147477]
173.57142857142813,[0.50708195]
173.57142857142813,[0.35215526]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.35866854]
173.57142857142813,[0.35866854]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.35551288]
173.57142857142813,[0.31495638]
173.57142857142813,[0.31495638]
173.57142857142813,[0.35551288]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.35866854]
173.57142857142813,[0.35866854]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.34746599]
173.57142857142813,[0.3490207]
173.57142857142813,[0.50708195]
160.7142857142859,[1.25114181]
160.7142857142859,[0.95642476]
160.7142857142859,[0.95173549]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.94846883]
160.7142857142859,[0.9555752]
160.7142857142859,[0.9555752]
160.7142857142859,[0.9555752]
160.7142857142859,[0.95233413]
160.7142857142859,[1.29909778]
147.85714285714295,[1.3601813]
147.85714285714295,[1.44666591]
147.85714285714295,[1.42283245]
147.85714285714295,[1.42283245]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42805097]
147.85714285714295,[1.42283245]
147.85714285714295,[1.43155229]
147.85714285714295,[1.49320084]
147.85714285714295,[1.40241496]
134.9999999999996,[1.41814818]
134.9999999999996,[1.57596578]
134.9999999999996,[1.57703336]
134.9999999999996,[1.59829]
134.9999999999996,[1.60748216]
134.9999999999996,[1.60748216]
134.9999999999996,[1.6157763]
134.9999999999996,[1.6157763]
134.9999999999996,[1.6157763]
134.9999999999996,[1.6157763]
134.9999999999996,[1.61764492]
134.9999999999996,[1.60748216]
134.9999999999996,[1.59829]
134.9999999999996,[1.57703336]
134.9999999999996,[1.57596578]
134.9999999999996,[1.53215852]
122.14285714285755,[1.53096383]
122.14285714285755,[1.57789285]
122.14285714285755,[1.61299359]
122.14285714285755,[1.61299359]
122.14285714285755,[1.63137598]
122.14285714285755,[1.63137598]
122.14285714285755,[1.6245439]
122.14285714285755,[1.61915713]
122.14285714285755,[1.61683724]
122.14285714285755,[1.61683724]
122.14285714285755,[1.6245439]
122.14285714285755,[1.63137598]
122.14285714285755,[1.63013646]
122.14285714285755,[1.61299359]
122.14285714285755,[1.57283157]
122.14285714285755,[1.53751155]
109.28571428571402,[1.55034422]
109.28571428571402,[1.57507134]
109.28571428571402,[1.59733918]
109.28571428571402,[1.63306083]
109.28571428571402,[1.62107888]
109.28571428571402,[1.62107888]
109.28571428571402,[1.61963517]
109.28571428571402,[1.61907231]
109.28571428571402,[1.61907231]
109.28571428571402,[1.61907231]
109.28571428571402,[1.61907231]
109.28571428571402,[1.61963517]
109.28571428571402,[1.62107888]
109.28571428571402,[1.63034375]
109.28571428571402,[1.59733918]
109.28571428571402,[1.52291326]
96.42857142857196,[1.61657219]
96.42857142857196,[1.62717939]
96.42857142857196,[1.63648226]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.6210291]
96.42857142857196,[1.64026288]
96.42857142857196,[1.62313175]
96.42857142857196,[1.57482581]
83.57142857142804,[1.57108039]
83.57142857142804,[1.6053974]
83.57142857142804,[1.62601488]
83.57142857142804,[1.6067168]
83.57142857142804,[1.60504356]
83.57142857142804,[1.60504356]
83.57142857142804,[1.60415515]
83.57142857142804,[1.60439415]
83.57142857142804,[1.60446836]
83.57142857142804,[1.60446836]
83.57142857142804,[1.60535677]
83.57142857142804,[1.60535677]
83.57142857142804,[1.61205082]
83.57142857142804,[1.62352064]
83.57142857142804,[1.61826542]
83.57142857142804,[1.61685988]
70.71428571428592,[1.52340072]
70.71428571428592,[1.55744273]
70.71428571428592,[1.5751162]
70.71428571428592,[1.56309179]
70.71428571428592,[1.56309179]
70.71428571428592,[1.56141854]
70.71428571428592,[1.56141854]
70.71428571428592,[1.56141854]
70.71428571428592,[1.56141854]
70.71428571428592,[1.56141854]
70.71428571428592,[1.56309179]
70.71428571428592,[1.56309179]
70.71428571428592,[1.58350732]
70.71428571428592,[1.57851239]
70.71428571428592,[1.54244207]
70.71428571428592,[1.4889007]
57.857142857142705,[1.47561643]
57.857142857142705,[1.51942136]
57.857142857142705,[1.53657425]
57.857142857142705,[1.54972845]
57.857142857142705,[1.55139925]
57.857142857142705,[1.52809435]
57.857142857142705,[1.52809435]
57.857142857142705,[1.52809435]
57.857142857142705,[1.52809435]
57.857142857142705,[1.52809435]
57.857142857142705,[1.55139925]
57.857142857142705,[1.54372062]
57.857142857142705,[1.53781377]
57.857142857142705,[1.53657425]
57.857142857142705,[1.5109068]
57.857142857142705,[1.47607199]
45.00000000000011,[1.47536437]
45.00000000000011,[1.531299]
45.00000000000011,[1.5081076]
45.00000000000011,[1.51607529]
45.00000000000011,[1.51420667]
45.00000000000011,[1.52481124]
45.00000000000011,[1.52481124]
45.00000000000011,[1.52481124]
45.00000000000011,[1.52481124]
45.00000000000011,[1.52481124]
45.00000000000011,[1.51420667]
45.00000000000011,[1.51420667]
45.00000000000011,[1.51607529]
45.00000000000011,[1.50765484]
45.00000000000011,[1.531299]
45.00000000000011,[1.3501053]
32.14285714285738,[1.32274242]
32.14285714285738,[1.44511585]
32.14285714285738,[1.38562643]
32.14285714285738,[1.38562643]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38828492]
32.14285714285738,[1.38562643]
32.14285714285738,[1.38562643]
32.14285714285738,[1.3942766]
32.14285714285738,[1.29444959]
19.285714285714306,[1.27922049]
19.285714285714306,[0.96281737]
19.285714285714306,[0.96928219]
19.285714285714306,[0.96928219]
19.285714285714306,[0.96217583]
19.285714285714306,[0.96092888]
19.285714285714306,[0.96092888]
19.285714285714306,[0.96152309]
19.285714285714306,[0.96152309]
19.285714285714306,[0.96152309]
19.285714285714306,[0.96152309]
19.285714285714306,[0.96092888]
19.285714285714306,[0.96092888]
19.285714285714306,[0.96544249]
19.285714285714306,[0.966908]
19.285714285714306,[1.22465405]
6.428571428571418,[0.48414866]
6.428571428571418,[0.34171066]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.32663346]
6.428571428571418,[0.28042204]
6.428571428571418,[0.28042204]
6.428571428571418,[0.32663346]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
6.428571428571418,[0.34203823]
